Wavelength(nm),Baseline,Boro125,Boro25,Boro5,Malico125,Malico25,Malico5,Tarta125,Tarta25,Tarta5
287.5,0.127698743,1.013100944,1.014213795,0.272901962,0.758971353,1.168830633,0.941769238,1.326736269,1.262598095,2.323199145
288,0.127689583,1.012211072,1.011846057,0.2727236,0.756201001,1.166157424,0.942013136,1.323442725,1.259421258,2.291172994
288.5,0.127532731,1.013133331,1.009620391,0.272911899,0.753685685,1.163477165,0.943270863,1.318987124,1.253253553,2.289092012
289,0.127426156,1.012995203,1.006989565,0.272868106,0.751084072,1.161117155,0.944103081,1.313380027,1.249719139,2.277352844
289.5,0.127357087,1.012491533,1.004618388,0.272815276,0.748455677,1.159462128,0.944840497,1.306765075,1.24551483,2.26211616
290,0.127320766,1.012258803,1.002656851,0.272822684,0.745800082,1.158156737,0.945707179,1.300290922,1.240095478,2.25055969
290.5,0.127326911,1.01273301,1.00064204,0.27276565,0.743045507,1.156052441,0.946744966,1.296139956,1.236190554,2.249234454
291,0.127313747,1.012451735,0.997198736,0.272727586,0.741089133,1.153828796,0.946969763,1.291973819,1.230485247,2.234975689
291.5,0.127256815,1.011616025,0.995129725,0.272645052,0.738585232,1.151582781,0.94775663,1.288046619,1.225922975,2.230885321
292,0.127206422,1.010556687,0.993043747,0.272677526,0.736078148,1.149336714,0.948761572,1.283214215,1.221791784,2.223241181
292.5,0.127163563,1.009660752,0.990722005,0.272768028,0.733719491,1.14747308,0.949773133,1.277967507,1.217762523,2.209535741
293,0.127091467,1.009313288,0.988840666,0.27270029,0.73134926,1.146485624,0.950696319,1.273941611,1.21374933,2.196148462
293.5,0.12699997,1.008927534,0.986810254,0.272623891,0.728998685,1.142806271,0.951646606,1.268575853,1.208086277,2.183066934
294,0.126924515,1.007229863,0.984216418,0.272599795,0.726866738,1.141123088,0.952449484,1.263140968,1.203521467,2.170228285
294.5,0.126917899,1.005127229,0.981854681,0.272508569,0.724695126,1.139916476,0.953088596,1.258295511,1.199315684,2.17003439
295,0.126933273,1.003187536,0.979756928,0.272381734,0.722347698,1.138317096,0.953947306,1.254012102,1.194745607,2.173039945
295.5,0.1268776,1.001733811,0.977516113,0.272328428,0.719802625,1.135984462,0.955465754,1.249978679,1.189387673,2.159609233
296,0.126786208,1.000309696,0.974618094,0.27236553,0.717563479,1.134696964,0.956100128,1.24728466,1.186374464,2.136499724
